NumTrajs,LossAfter,Iteration,MinReturn,AverageDiscountedReturn,ExplainedVariance,LossBefore,AverageReturn,MeanKL,MaxKL,StdReturn,AveragePolicyStd,MaxReturn,Perplexity,Entropy
599,0.06460224483224059,0,-1000.0,-928.611503009,1.76078041036e-11,0.07068155977890962,-999.968280467,0.01518665259582773,0.16813525374888907,0.193368043213,1.0,-998.0,4.13273135412,1.4189385332
583,0.041014202905648486,1,-1000.0,-926.526119283,0.892661803507,0.07505845357620472,-999.931389365,0.009629360886961603,0.1290860123918395,0.344661751838,1.001000498,-997.0,4.13686614358,1.41993853104
555,0.018779533230999054,2,-1000.0,-922.648775768,0.483335313089,0.04977755447819696,-999.971171171,0.02265719185444108,0.10877572872677027,0.187629780857,1.00200311076,-998.0,4.14100967275,1.42093964041
516,0.027177757670882017,3,-1000.0,-916.295576937,0.459423451046,0.057507437080962544,-999.955426357,0.015145418121059288,0.2500342020035987,0.23284059075,1.00298024758,-998.0,4.14504791672,1.42191434865
460,-0.005899837857271478,4,-1000.0,-905.954999333,0.234695383525,0.030473626882210725,-999.930434783,0.016262134840087435,0.3265597300882468,0.354394502127,1.00395800909,-997.0,4.14908874241,1.42288872999
395,-0.020918404302894853,5,-1000.0,-890.402987445,0.176462001212,0.011813856781520153,-999.883544304,0.01656737752071955,0.3350523208172666,0.462910544369,1.00488966495,-997.0,4.15293902577,1.42381628257
340,-0.029760853962266364,6,-1000.0,-873.468595331,0.125621850247,0.004905853344177941,-999.870588235,0.02017620344153916,0.39892085814183,0.526659512602,1.00573710255,-996.0,4.15644125772,1.42465924126
210,-0.07072739091393113,7,-1000.0,-803.802321994,0.0970808055176,-0.04524730007165295,-999.919047619,0.021712261626027903,0.37647472866423787,0.400141698258,1.00649618407,-997.0,4.15957833769,1.425413708
126,-0.013716254403282238,8,-1000.0,-674.806924221,-0.0250545971207,0.0086304557225469,-952.380952381,0.030318380833318278,0.3677787436749884,212.958855,1.00696766728,0.0,4.16152685116,1.42588203846
94,-0.07533243922238105,9,-1000.0,-534.973087805,0.152851692946,-0.05867836035039861,-808.319148936,0.042769223413683166,0.3758356077124363,393.569702734,1.0074160256,3.0,4.16337979563,1.42632719529
61,-0.05671957952655649,10,-1000.0,-204.738258511,-0.175961418642,-0.04460383877843987,-376.62295082,0.038724087998186815,0.47995557816908,484.709010693,1.00759593117,3.0,4.16412329705,1.42650576056
55,0.011855468433276617,11,-1000.0,-27.88104739,-0.398881281605,0.00626177563049553,-35.4181818182,0.01744399606730046,0.47709697876850266,187.383776431,1.00761328838,6.0,4.16419502972,1.42652298677
54,0.001935810224030762,12,0.0,0.843273552113,-240.073862492,-0.0021548037483090825,1.27777777778,0.008095738227420964,0.25757077427634084,1.4196591488,1.00764812663,5.0,4.16433900684,1.42655756118
57,0.008468556794586503,13,-1000.0,-55.3748624922,-0.000352140682676,0.007637807752240882,-69.5964912281,0.005182823950716885,0.18067466002862834,255.602958254,1.00767289861,4.0,4.16444138277,1.42658214484
58,0.02203222282603177,14,-1000.0,-80.8021132779,0.0529255631189,0.01918544907802253,-102.724137931,0.004013606637033122,0.11589379249754136,304.792003306,1.00771882502,4.0,4.16463118429,1.42662772051
59,0.042842259042201215,15,-1000.0,-92.552683228,0.0677683387362,0.04131482743485423,-118.254237288,0.005383086280689054,0.06758382901372338,323.513318994,1.00781919582,3.0,4.16504598986,1.42672731754
66,0.02320430501585648,16,-1000.0,-202.80138675,0.110568653453,0.021759969123686246,-256.848484848,0.0006691651766487394,0.012614993158644852,437.591107134,1.00803131044,6.0,4.16592260258,1.42693776431
61,0.010198603346500707,17,-1000.0,-128.961241322,0.0708049925512,0.009790684474577045,-163.754098361,0.0009980370579639971,0.033057448506670216,370.296808544,1.00828745294,6.0,4.16698117073,1.42719183377
68,0.024956223517687427,18,-1000.0,-220.827327578,0.144217435795,0.024792534367121772,-278.779411765,0.0007675470415894698,0.04299276498608981,449.105740385,1.00854933191,5.0,4.16806344618,1.42745152655
74,0.03822595210031497,19,-1000.0,-298.931088867,0.215453671283,0.03863709995533281,-378.027027027,0.0002145255120248062,0.026218419576125508,485.034464448,1.00885969022,3.0,4.1693460737,1.42775920666
74,0.04181748215013294,20,-1000.0,-298.667819133,0.227466826277,0.042454686253574764,-378.094594595,0.00017323158764608924,0.02811524863743306,485.204670354,1.00924977425,4.0,4.17095818618,1.42814579027
63,0.018990058938725317,21,-1000.0,-162.741212891,0.0334234121832,0.020536818575215547,-205.984126984,0.00028881660615271364,0.022387656982394685,404.871662679,1.00971851127,4.0,4.17289535034,1.4286101235
68,0.03331189890744778,22,-1000.0,-231.600940654,0.160002334148,0.0350078376730274,-293.470588235,0.0004896514332507925,0.024816227523635007,455.903352458,1.01020282671,7.0,4.17489689596,1.42908966242
70,0.03810007489295911,23,-1000.0,-247.901540048,0.194765182154,0.03990133366672056,-313.742857143,0.0007042790172751161,0.012986147918868075,464.599879642,1.01073782152,7.0,4.17710788579,1.42961911372
63,0.02465073747762195,24,-1000.0,-162.565762662,0.0796510573824,0.026420608597808863,-205.888888889,0.0007965823452410188,0.00752747735270853,404.841811596,1.0113289936,5.0,4.17955104117,1.43020383435
59,-0.008439595998861961,25,-1000.0,-93.8282910959,0.031030104412,-0.005761775688721507,-117.796610169,0.0010525066072139715,0.007207322711962054,323.683711473,1.01193881161,7.0,4.18207125519,1.43080663941
55,0.017570304451469527,26,-1000.0,-28.4904863119,-0.0874692084384,0.01887433308200022,-35.7272727273,0.001070922538256576,0.010505744697891548,187.320479349,1.01247754895,5.0,4.18429771189,1.43133887908
57,0.013896537099807295,27,-1000.0,-69.1428235759,0.0374521754505,0.016123464001521558,-87.1929824561,0.001225622939921468,0.008827349191867121,283.051135334,1.01302184037,4.0,4.18654712212,1.43187631833
56,0.00890889168537309,28,-1000.0,-41.4916008578,0.0207010025698,0.011120050921974725,-52.2857142857,0.001345269029657599,0.009619029998294854,225.484851747,1.01356420327,9.0,4.18878856227,1.43241156618
57,0.0007212445019127194,29,-1000.0,-76.6139462061,0.0319613050512,0.0022514046573428015,-104.122807018,0.001308948436921583,0.002538196483244739,307.289055884,1.01409124001,8.0,4.19096666351,1.43293141461
56,-0.002570909719108708,30,-1000.0,-39.0315212291,-0.281271049625,-0.002659499402654347,-52.5892857143,0.001004207812469495,0.002073829173036921,225.408025018,1.01457849853,7.0,4.1929803721,1.43341178707
54,0.0040543395636599925,31,0.0,0.965733975693,-208.411853603,0.00327870714287567,1.57407407407,0.0006623660237295247,0.0007217496138285026,2.13959023294,1.01501437522,7.0,4.19478173337,1.43384130838
54,0.008385095872539161,32,-1000.0,-13.8881878061,-0.000558258885932,0.009483227313174665,-17.1666666667,0.0006906591577472707,0.0007763490263837346,135.016425613,1.0154218195,7.0,4.19646559111,1.43424264508
54,0.002111068563431112,33,0.0,0.648418231956,-76.0395230676,0.0025419397188999487,1.01851851852,0.0005960171255304978,0.0012799641613810385,1.47184365037,1.01582263366,6.0,4.19812204836,1.43463729395
54,-0.00346392024748827,34,-998.0,-9.96437405009,-0.000499721398784,-0.003999689421269875,-17.2592592593,0.00041354377211158544,0.0004793027312236936,134.727322037,1.01619595829,7.0,4.19966489877,1.4350047361
54,0.013181539365731921,35,0.0,0.436203538484,-1722.86768101,0.01333472646542926,0.722222222222,0.0003385307179083048,0.0009804601643952533,1.07869376883,1.01652305674,5.0,4.20101670879,1.43532656952
54,-0.017096012869767172,36,-1000.0,-6.42339438724,-0.00430914000358,-0.017035708655786172,-17.2037037037,0.0002576240503764214,0.0033257476235075134,135.006224771,1.01686389191,6.0,4.20242528899,1.43566180839
54,-0.02161797392412033,37,-1000.0,-20.5847547431,-43.7011411564,-0.020750061002914273,-35.5740740741,0.00018540436114720008,0.005653813639711992,189.15059666,1.01711692958,7.0,4.20347102568,1.43591061867
54,-0.010205258642662841,38,-999.0,-16.5458292414,-4.43831162142,-0.010362301098024279,-36.0555555556,0.00010347115059889621,0.002751559787173223,188.854874388,1.01727720032,5.0,4.2041333816,1.43606817982
54,-0.006077950680345735,39,0.0,0.421215003027,-12315.6653709,-0.005025361646760475,0.666666666667,0.00012317023187278324,0.003962101247254112,1.0,1.01738820341,3.0,4.20459212757,1.43617729171
54,-0.003047124806619814,40,-1000.0,-14.9340821036,-4.27005262595e-05,-0.0029478535046242975,-35.7777777778,0.00012521652649943044,0.010266978146880164,189.107422604,1.01747219854,7.0,4.20493925687,1.43625984787
54,0.010692103068111806,41,0.0,0.628273238926,-4704.43169305,0.01124378251877146,0.981481481481,7.157320136663078e-05,0.007923152600378118,1.86081165824,1.01753854372,9.0,4.20521344364,1.43632505162
